x,y,z
8.546912624,0.369196486,1.261601865
1.236103099,1.829662289,11.50881031
26.6345529,1.483004,1.434740135
29.3637057,0.905911731,10.26946515
12.78504488,1.838175035,6.419141986
2.518550387,0.219724883,41.12930335
35.04019588,0.167886881,13.88045837
15.79863045,0.695177196,6.967726088
11.1472154,1.598764452,7.112734229
2.662354191,1.728851756,6.60026095
10.31823979,2.076061628,0.769392009
4.025155067,1.486143111,10.8276428
13.82625419,0.309865806,10.6539489
0.466005964,0.184667948,2.348254693
5.721695833,3.214098076,1.447486994
25.45454581,1.211998861,5.185584462
48.95585457,1.014250252,3.245238846
11.38362901,0.309470153,6.260430801
2.163857026,1.325532444,9.269443433
17.89922436,1.717978422,3.469384008
5.515825765,1.192054678,2.845975366
21.46828394,1.232370662,18.94586959
14.15844188,2.060302973,7.349184417
21.41811351,4.401445079,12.73881977
23.63287824,1.820479247,4.144395847
15.58898844,0.930507916,9.442650596
16.7285724,0.60234152,11.92240692
16.76781468,1.028335521,4.985345513
27.55025362,3.136689398,3.502256532
44.20311789,2.332940442,2.106977149
13.64838889,0.571246939,10.63263548
2.012628668,0.867652446,5.425321317
10.15756618,2.810387913,14.31353868
27.11207147,0.02833802,2.295679692
23.96836317,0.230653916,30.48159585
18.61492502,0.749864944,4.37042535
6.897912841,3.451917233,1.342768874
2.447349307,1.978388799,12.04641461
16.10806638,2.543554461,4.665828624
24.39637748,0.744009086,24.88106592
9.449073203,2.379803839,6.995061814
17.7998927,0.012505595,14.12665574
1.328569473,0.548880111,17.26995256
7.271926924,1.719486699,37.37969752
21.56910791,1.684503542,6.357174803
5.811878163,3.486307404,10.92130882
0.084445028,0.489026932,17.15623583
11.48351,1.403051283,29.13881067
11.75503079,2.290377579,0.525538912
12.3090786,3.389994035,7.782421215
6.519932086,1.791083091,5.968499795
2.41347493,1.084441683,22.61916932
20.54663698,0.034946149,1.601810614
24.62578007,3.036912534,2.65658284
15.17826763,3.088358496,39.97382971
16.63468544,2.15355788,5.470405141
21.3655065,2.760644616,2.829054766
12.67958173,1.372302427,2.805355744
19.22990813,0.051698073,3.049390618
17.74925932,0.046383793,21.60101733
5.125688484,0.20286547,10.45434023
1.848269684,2.667407776,10.3542204
9.673621353,4.516289423,10.25348544
30.78203626,1.54970592,3.159797466
8.185673507,1.666074328,12.5736209
2.609982417,2.292286654,30.47581858
14.52626253,1.820931141,3.075406211
7.696601662,0.581581925,5.19631317
20.40056102,0.425506744,23.82499943
1.320963142,1.365224265,0.369880739
21.84697669,2.216526998,18.01947388
2.361830015,1.671471152,83.73422005
3.720422989,2.395231466,1.749772392
7.570751668,0.846819889,43.55382069
7.794518242,1.095616441,15.31877767
26.06071309,2.170225159,9.206024603
21.61718544,0.083093865,8.156762726
19.1554859,0.284695062,14.17713244
1.566374536,0.397154547,5.51702347
26.48148573,0.041756019,22.28716994
32.53607377,3.783510358,0.093013451
6.875998877,3.115488958,8.764625789
5.22475629,0.279095472,9.165741119
35.85351728,0.172869436,8.334153378
33.75370325,1.497290257,14.27992154
5.394448516,0.080430265,1.914455009
9.714493546,0.651506106,3.616672754
14.26710442,3.084092442,1.970057165
32.97038496,1.284198048,12.09937843
14.68527264,1.728724109,2.717096941
6.133048437,0.244045115,40.79351947
22.15035284,0.176814861,2.513451703
21.56807923,0.464374841,6.638182694
17.07558383,0.111063673,5.209869496
26.01960836,3.121815121,0.322010607
12.781855,2.783196917,0.029562896
15.28831683,1.070176315,3.606143629
4.777501655,1.229932122,29.17500294
46.35228252,3.71432077,8.974030939
13.08013266,1.220266015,2.928446984
0.728896397,1.881317003,5.699880846
2.514003471,1.800362552,4.605884111
8.639524404,1.09524004,0.619846212
8.491476728,2.696930807,13.4028533
4.66367316,1.539144619,6.635246606
24.62213384,1.377189309,37.753746
12.44261538,2.019721593,24.04581318
5.864914554,1.864509198,6.501661061
12.02487938,0.653945974,27.31536568
28.24796961,1.255642331,24.0077835
0.418719106,1.298693399,19.87437534
13.77130482,0.806760198,12.81772476
9.178768454,1.138012939,14.0615388
28.51523506,1.07619906,0.798191165
37.25350598,0.783258362,10.93121779
4.559354092,1.25986609,16.21060984
4.942108617,0.62406885,8.22162964
3.633172369,2.05661936,26.86350567
21.482016,0.974611301,14.65915065
0.857832118,2.245580955,38.90885692
17.95634786,0.274375018,12.28730566
4.627841248,0.26187312,2.810418286
11.18678749,0.009535039,4.203123956
9.126084515,1.777545778,15.31666904
1.658933156,1.609136848,3.818566154
1.758339734,1.950577078,7.833790546
18.73029461,0.27526517,4.791252554
8.712615388,1.339691136,4.893308337
12.2291312,1.991077126,2.515753992
17.2236218,1.615409653,10.63785339
19.10490405,1.285562272,2.198706131
5.571259282,1.491509372,21.68797726
13.75791257,2.967095763,13.36945366
19.51035792,0.358487551,0.866221411
13.80449326,0.882933509,20.10097664
8.339557663,0.004673668,4.881681886
4.155657705,1.233682093,5.086883291
1.609890853,1.18266519,13.79651778
16.58185591,1.339382129,1.631134696
0.259228624,2.440590072,9.528779902
15.76959572,0.459397555,28.38170245
30.54226729,0.573336117,9.01323144
7.705592925,0.547742775,23.58946053
39.78618861,1.070668852,24.98542368
24.0254445,0.375884445,15.05585653
14.25092749,2.530795864,1.106224199
35.7674351,0.533107184,13.92988485
1.006627527,0.542316603,2.411609981
23.13100865,1.141400458,7.083586487
6.579402902,1.255411378,8.681027963
29.40336617,1.247358142,26.70538139
2.566588954,2.344802514,4.561227717
19.95706526,0.527910916,11.1862779
1.88549528,2.26081664,22.92273315
19.85583318,2.703210785,7.09293359
0.381304014,1.95457238,18.59010185
31.94816861,0.848650157,23.35593537
19.9302144,3.636654263,67.81811176
4.399482189,1.047356464,27.06165591
13.74955604,0.200032922,1.194129611
4.030472177,1.053342642,1.236015954
27.08949211,2.178823454,1.932188653
4.79143017,2.268830289,2.399993374
30.27319122,1.635248898,20.91737906
18.06849489,1.041100556,15.74073085
4.739679074,0.323298389,50.32496571
11.26387559,1.700822729,30.92422544
10.55676998,2.94064631,12.16911458
12.83205009,1.212477219,0.67484852
29.15292563,0.074402298,10.11874631
5.1381545,1.147157418,16.4974949
18.98261636,2.235583298,12.50801309
23.27055768,0.676859812,12.21583553
45.02034567,0.129460903,2.727196383
6.499071944,0.9709246,16.66661225
1.337035029,1.607765997,14.36142505
8.045936149,2.165621167,6.780966164
5.987214706,1.354836235,4.374788783
8.033403316,2.672714811,44.04984052
22.42096548,2.307597272,12.3638223
11.96849456,2.404425733,1.988185325
11.4594808,1.858358571,6.738826568
19.06392029,2.495511748,19.99108917
38.82224335,0.489331765,8.585313812
1.168058794,0.999445617,10.22804035
15.97813084,1.775200134,23.6287446
8.493934656,0.363813255,3.109811753
9.022864085,2.053015239,5.286516121
35.84075289,0.024419849,6.801019167
18.79174201,3.715441309,6.171306811
20.5222201,2.237727319,9.623882046
38.66099144,1.405056659,18.15274761
14.7856058,1.848057373,8.62370641
3.350998493,2.831064344,63.72862889
6.963634945,1.803805089,9.189744014
15.23287344,0.561895745,8.661540196
11.83701386,0.354527847,8.322904521
21.89545546,0.027193079,44.02352441
18.53373068,1.076779765,22.81042752
30.28779989,2.13599773,2.999984031
2.287005068,0.755271782,2.886018553
17.49159896,1.67844907,12.7410435
12.40779776,0.417640433,18.24245327
23.77356309,0.967951474,21.9442674
25.93866507,0.592883572,7.177724456
26.26325408,0.367018323,7.889725757
4.417295004,1.871190871,11.0580351
22.26892404,2.752366206,4.128617971
19.234203,1.534258983,10.29986911
26.03061469,3.231589678,6.307330594
1.542752624,0.840506822,16.01148605
14.33459811,0.985844669,5.892066681
3.561912356,0.857265468,24.51473903
3.435541133,0.803593149,14.86724481
2.544942747,0.69414164,1.611614792
21.80437135,1.101318241,4.983039018
27.44352623,1.238384665,3.237081465
23.35248955,3.038137873,16.91200843
7.3352307,1.773065742,7.682811143
29.61430188,0.186278227,27.222939
1.830188296,0.411994182,7.418238302
21.94229244,0.164381401,0.883426381
7.469608461,2.282270738,110.7940194
11.77743195,1.116679929,0.530992175
54.35913274,4.011025416,3.704654715
7.564434273,0.428730518,2.20712265
18.06271439,3.984818128,1.859996154
21.21628768,2.490761055,30.46682759
10.57667498,2.623439544,0.967836523
19.82680445,1.157049478,19.95026205
5.070606304,1.699230566,14.20084788
10.23116803,1.578145081,2.517458994
19.75425214,0.009290143,0.392878999
3.428944771,1.996620651,8.027818974
18.55575419,2.45421371,4.235993716
14.00908194,3.772177389,31.38043873
11.68533835,0.311484263,1.035274164
1.425302234,0.303756718,12.62280479
23.15137066,0.557234285,5.114792322
7.969717025,1.277263941,24.24648062
3.042773691,2.413854776,6.089020487
18.96362867,2.315195092,1.988191111
15.13002344,0.416388586,8.796321891
19.13181629,0.457470189,30.3944668
24.61021036,2.331795978,3.942903475
24.68874293,0.97857054,6.488812011
7.347855973,2.977602104,21.86447298
15.17836741,1.625682663,16.17653472
31.22311225,0.565901283,12.42591311
10.26282851,2.837368453,2.068929489
10.42851883,1.853513632,6.499436259
47.61371352,3.91175167,3.190358868
13.79954514,0.25946114,37.29440752
11.44906859,1.065709448,5.62557496
16.27201366,0.504574472,9.900737358
11.52391072,0.906472653,0.65148234
3.935327125,2.653133162,17.93834754
9.116102036,1.743410272,3.996499173
7.453696347,0.979575561,28.46759397
11.50324611,3.609167004,12.88145588
18.17296898,0.475317333,10.67394995
10.00022466,1.223724272,1.908570615
18.88988035,0.234232825,4.914680853
21.68896549,0.172475513,42.00013904
4.913763434,0.58605797,10.04846197
24.82281341,1.959089076,7.163872436
11.69241398,0.690665407,2.854522184
9.966250227,2.147786704,2.342544297
1.373727846,0.487191777,26.30117569
2.924930866,0.131197691,6.378019333
16.22558382,1.494052588,10.27012272
21.92776599,1.078271024,3.803829855
3.280074012,0.46864095,6.238900853
35.26381586,0.520444834,10.37626607
10.47154896,1.898713344,9.094888364
7.674715734,1.28870945,3.811058938
16.4628579,1.796054801,12.15261506
37.09516013,0.882707041,12.23962434
45.93175327,2.696084009,3.455525
19.95181288,0.230680801,15.30637406
25.26069586,0.778903487,18.78692137
35.0026978,0.165236061,19.73648859
16.21004205,0.341919472,6.779180851
3.371364487,0.86660722,22.78154972
6.586560775,3.725583292,5.318702286
17.82551245,2.612388217,16.59004801
12.60587515,0.508346311,6.340834184
2.065839712,1.158321058,1.373944263
37.53113561,1.735149216,12.06741494
14.10898383,0.702472841,9.94910843
13.56698003,0.970347149,7.004086499
31.8312496,0.401875944,4.106593219
24.36316798,1.908330828,21.52584179
1.810493798,3.005046461,9.73781147
4.758992202,1.97943937,75.63556265
9.88737984,1.209795564,4.571930668
15.87250348,1.512105509,0.098048319
11.83389014,1.741109065,3.729765906
28.47190167,0.945611696,0.53407494
24.40536394,0.445319071,17.90201324
9.979955967,1.662999018,0.192744192
22.15182494,1.051651777,0.521942589
15.8186766,0.546864018,9.187211949
